,ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_forward,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
0,AAA,HSX,Hóa chất,3089.0,4.9,2.5,1.5,3.0,4.0,-0.2,1.0,74.8,52.9,0.4,0.2,11.7,0.6,5.3,3.6,,Giá nằm dưới SMA(20),1.27,6.66,27.36,-7.33,15.33,5.25,0.5,23.72,33.88,43.23,76.0,43.0,59.0,11.0,1.43,Mua < Bán,8.13,49.0,1.84,47.0,,Trung tính,-2297.0,3.0,,692.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.0,0.0,,Giá nằm trên SMA(50),,,,,Trung tính,-0.85,-0.12,,0.62,-0.12,-17.0,-17.49,Có,50.0,-38.8,-9.8,264.6,-17.0,30.1,-10.7,-66.4,-18.2,-62.9,32.3,265.0,Giá nằm trên SMA(100),,0.62,2108.2,3480.9,4231.6,3882.4,74.8,5.0,-40.1,168.2,-0.4,-0.3,121.0,2310.0,0.2,2.2,,,,-42.91,6.35,5249.0,692.0,3.9,-2.9,2.9,9.7
1,AAM,HSX,Thực phẩm và đồ uống,76.0,-0.1,,1.1,,4.2,0.0,0.5,100.0,29.9,6.5,0.4,-281.1,0.4,-0.7,0.0,,Giá nằm dưới SMA(20),12.23,-6.62,,,13.48,1.75,0.0,0.05,0.05,0.06,28.0,51.0,75.0,45.0,0.0,,7.29,51.0,0.79,50.0,,Mua,-2.0,1.0,,-26.0,MACD Histogram < 0 và tăng dần,0.0,0.1,0.0,0.0,,Giá nằm trên SMA(50),,,,,Trung tính,-0.14,-1.22,,0.0,-1.22,-1.49,-34.03,Có,30.0,108.9,39.9,-0.3,89.2,57.3,,,-8.3,-56.7,21.7,43.8,Giá nằm trên SMA(100),,0.0,6.6,5.6,7.6,7.3,11.8,0.0,18.3,-6.6,,3.0,1.0,64.0,0.4,-0.1,,,,,,199.0,-26.0,3.8,-0.2,1.0,3.0
2,AAT,HSX,Hàng cá nhân & Gia dụng,244.0,0.0,2.3,1.4,2.9,3.2,-0.1,0.6,60.1,55.9,3.0,1.1,-1526.6,0.3,13.7,0.0,,Giá nằm dưới SMA(20),-2.73,14.49,,,10.62,2.86,0.5,0.27,0.39,0.48,34.0,63.0,14.0,15.0,0.06,Mua > Bán,3.44,53.5,0.82,32.0,,Mua,-6.0,2.0,,-2.0,MACD Histogram < 0 và tăng dần,0.3,0.2,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-1.15,0.58,,-0.29,0.58,-14.64,,Có,85.0,-140.8,-24.9,-0.2,-0.3,1.3,270.1,349.7,-18.1,-81.6,42.1,32.3,Giá nằm trên SMA(100),,-0.29,61.8,102.1,116.6,123.9,,1.0,-13.5,-46.4,0.0,15.1,5.0,179.0,0.4,0.0,,,,,,715.0,-2.0,5.4,-0.3,3.5,8.7
3,ABR,HSX,Hàng & Dịch vụ Công nghiệp,271.0,6.0,2.9,3.0,3.5,4.2,0.0,0.4,100.0,55.6,86.8,,16.4,1.0,16.1,17.5,,Giá nằm trên SMA(20),-53.62,-1.64,-36.29,18.64,92.22,53.06,0.0,0.07,0.06,0.04,96.0,21.0,5.0,2.0,0.03,,13.9,63.7,48.42,31.0,,Mua mạnh,-3.0,0.0,0.0,825.0,MACD Histogram > 0 và tăng dần,0.4,0.5,0.6,0.8,,Giá nằm trên SMA(50),,,,,Trung tính,2.21,9.02,,2.58,9.02,32.7,-32.41,Có,4.0,3.6,3.1,16.5,,-61.4,-39.3,-22.9,-14.2,-52.1,43.6,479.6,Giá nằm trên SMA(100),,2.58,5.4,4.3,3.1,2.5,88.4,0.0,-1.6,-9.7,,5.3,3.0,6.0,10.8,5.0,,,,3.09,,263.0,825.0,11.6,4.3,7.0,6.8
4,ABS,HSX,Hóa chất,302.0,-35.2,3.0,1.1,3.0,4.0,-0.1,0.9,76.7,37.5,0.2,0.3,-1.1,0.5,-1.3,0.0,,Giá nằm dưới SMA(20),-61.36,-12.91,-70.61,-40.63,4.23,,0.1,0.91,1.35,1.88,85.0,94.0,91.0,8.0,0.03,,3.79,48.0,0.0,70.0,,Bán,0.0,,1.0,-3447.0,MACD Histogram < 0 và tăng dần,0.1,0.0,0.0,0.0,,Giá cắt lên SMA(50),,,,,Trung tính,-2.07,-0.79,,0.53,-0.79,-12.47,-61.9,Có,90.0,-20.4,-8.5,-275.7,-79.6,83.0,-8060.4,-149.2,-27.8,-94.6,17.3,15.2,Giá nằm trên SMA(100),,0.53,175.3,274.8,425.1,456.6,0.0,0.0,-46.5,,0.1,0.0,-270.0,35.0,1.0,-23.1,,,,,,645.0,-3447.0,-6.2,-1.4,0.3,3.8
5,ABT,HSX,Thực phẩm và đồ uống,740.0,25.4,3.4,3.7,3.0,4.8,0.2,0.5,,34.4,,,5.3,1.2,5.6,8.1,,,9.54,10.07,58.9,15.26,30.49,34.51,0.1,0.44,0.72,1.27,5.0,93.0,90.0,90.0,,,,,1.92,70.0,,,13.0,3.0,,11886.0,,,,,,,,,,,,,,,,,,,,Có,13.0,-7.6,-7.4,140.0,11.9,34.4,81.6,98.2,,,,,,,,,,,,91.0,1.0,8.4,176.6,-0.1,0.1,61.0,177.0,1.1,19.7,,,,96.61,327.15,597.0,11886.0,,,,
6,ACB,HSX,Ngân hàng,142029.0,21.0,3.1,4.3,4.2,2.9,0.0,1.0,59.2,76.1,0.2,0.4,8.4,1.6,,4.6,,Giá nằm trên SMA(20),2.35,15.8,4.64,8.0,,52.53,,926.16,916.87,645.71,23.0,89.0,77.0,73.0,99.84,Mua > Bán,27.55,62.0,29.99,66.0,Chờ mua,Mua,-403.0,2.0,,3305.0,MACD Histogram > 0 và giảm dần,0.1,0.1,0.1,0.2,Giá cắt xuống SMA(10),Giá nằm trên SMA(50),,,,,Trung tính,-1.61,16.74,,-0.36,16.74,34.86,241.53,Có,85.0,,,16975.2,7.4,-3.1,9.2,-5.8,-6.6,-6.5,58.9,1544.2,Giá nằm trên SMA(100),,-0.36,24038.8,29839.6,24771.6,18295.6,24.6,,17.4,32.7,0.5,2.5,4881.0,9293.0,,2.0,1.3,3.2,,3.39,175.7,87211.0,3305.0,26.8,6.4,16.1,24.1
7,ACC,HSX,Xây dựng và Vật liệu,1459.0,3.9,2.1,1.9,3.5,2.8,0.0,0.1,,51.7,4.3,0.7,28.2,1.1,28.0,0.0,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),7.43,8.13,-24.76,-18.81,11.67,4.18,0.8,0.08,0.15,0.15,41.0,43.0,23.0,39.0,0.01,,13.8,41.0,7.47,36.0,,Bán mạnh,0.0,0.0,0.0,492.0,MACD Histogram < 0 và giảm dần,0.2,0.1,0.1,0.0,,Giá nằm dưới SMA(50),,,,,Trung tính,-1.43,-1.43,,-0.72,-1.43,2.99,172.92,Có,30.0,-76.1,-37.8,51.7,37.0,17.0,9.7,-13.1,-8.3,-44.4,7.8,605.3,Giá nằm dưới SMA(100),,-0.72,4.2,10.1,9.5,37.9,79.1,3.0,51.3,-7.7,,-1.0,8.0,197.0,1.9,2.0,,,,-27.46,0.67,1343.0,492.0,-2.7,-0.9,-1.3,-1.9
8,ACG,HSX,Tài nguyên Cơ bản,,,2.5,2.0,3.0,4.8,-0.1,0.5,30.0,66.7,15.3,2.3,,,,,,Giá nằm dưới SMA(20),,,,,,,,0.29,0.54,0.96,17.0,30.0,31.0,18.0,0.07,,37.0,42.2,38.46,24.0,,Bán,-12.0,,1.0,,MACD Histogram < 0 và giảm dần,0.3,0.2,0.1,0.1,,Giá nằm dưới SMA(50),,,,,Trung tính,-0.54,-3.01,,0.0,-3.01,-10.04,,Có,8.0,,,,,,,,-12.9,-34.3,15.7,32.3,Giá nằm trên SMA(100),,0.0,6.1,11.0,21.3,22.6,88.5,,19.8,62.3,,,138.0,961.0,,,,,,,,4250.0,,-2.8,-1.4,-0.2,1.2
9,ACL,HSX,Thực phẩm và đồ uống,612.0,1.8,2.2,1.3,3.0,2.6,-0.1,0.6,,48.1,2.0,2.2,42.8,0.7,20.0,0.0,,Giá cắt xuống SMA(20),56.6,4.29,9.26,-40.28,10.5,1.03,1.0,0.29,0.46,0.48,57.0,84.0,58.0,36.0,0.05,,11.9,42.8,2.15,59.0,,Bán,0.0,0.0,0.0,285.0,MACD Histogram < 0 và giảm dần,0.3,0.1,0.1,0.1,Giá cắt xuống SMA(10),Giá cắt xuống SMA(50),,,Tín hiệu bán,,Trung tính,-2.46,-4.42,,-2.46,-4.42,-0.42,-19.64,Có,25.0,-118.5,-39.8,14.3,3.5,32.3,115.9,13.9,-6.3,-61.9,42.2,585.5,Giá nằm trên SMA(100),,-2.46,15.4,36.0,37.8,73.8,5.7,1.0,39.0,131.7,-0.3,1.5,6.0,581.0,0.3,0.8,,,,28.17,-61.15,819.0,285.0,5.1,-2.3,-0.7,7.4
