,ticker,market_cap
374,VCB,531421.0
385,VIC,504745.0
383,VHM,404169.0
31,BID,287876.0
327,TCB,266088.0
398,VPB,265786.0
68,CTG,263667.0
218,MBB,211041.0
173,HPG,199178.0
120,FPT,168307.0
144,GAS,160942.0
6,ACB,134580.0
216,LPB,134428.0
395,VNM,122680.0
226,MSN,114950.0
154,GVR,113600.0
163,HDB,109395.0
227,MWG,101718.0
316,STB,99916.0
188,HVN,94678.0
389,VJC,84305.0
38,BSR,80458.0
299,SHB,74878.0
384,VIB,74718.0
314,SSI,72269.0
406,VRE,68170.0
27,BCM,67275.0
312,SSB,59034.0
282,SAB,58485.0
357,TPB,53103.0
109,EIB,50200.0
388,VIX,49925.0
148,GEX,47827.0
264,PLX,45551.0
224,MSB,43550.0
41,BVH,43426.0
146,GEE,42383.0
200,KDH,37763.0
268,POW,37236.0
82,DGC,36839.0
198,KBC,36399.0
245,OCB,36084.0
279,REE,34666.0
391,VND,32729.0
243,NVL,31299.0
377,VCI,30927.0
267,PNJ,28215.0
162,HCM,28079.0
228,NAB,27451.0
381,VGC,26587.0
150,GMD,25380.0
258,PGV,23087.0
253,PDR,22732.0
121,FRT,21952.0
105,DXG,20836.0
287,SBT,19956.0
81,DCM,19905.0
304,SJS,18741.0
155,HAG,18187.0
329,TCH,17678.0
92,DPM,17678.0
402,VPI,17091.0
376,VCG,15871.0
237,NLG,15673.0
199,KDC,15505.0
51,CII,14186.0
302,SIP,13994.0
88,DIG,13769.0
86,DHG,13179.0
122,FTS,12855.0
382,VHC,12345.0
37,BSI,12195.0
412,VTP,12081.0
325,TAL,11772.0
211,LGC,11571.0
273,PVD,11535.0
35,BMP,11297.0
177,HSG,11178.0
408,VSH,11092.0
407,VSC,11063.0
165,HDG,10969.0
23,BAF,10474.0
42,BWE,10304.0
112,EVF,10268.0
371,VAB,10205.0
76,DBC,10103.0
99,DSE,9925.0
70,CTR,9586.0
251,PC1,9281.0
156,HAH,9034.0
83,DGW,8876.0
375,VCF,8636.0
204,KOS,8399.0
275,PVT,8318.0
56,CMG,8279.0
194,IMP,8116.0
71,CTS,8029.0
29,BHN,7707.0
260,PHR,7574.0
66,CTD,7516.0
350,TMS,7112.0
168,HHV,7088.0
236,NKG,6848.0
15,ANV,6656.0
167,HHS,6653.0
106,DXS,6631.0
250,PAN,6570.0
339,TDM,6555.0
379,VDS,6215.0
179,HT1,6182.0
241,NT2,6175.0
323,SZC,6138.0
291,SCS,6111.0
30,BIC,6063.0
164,HDC,5948.0
172,HNA,5716.0
147,GEG,5393.0
252,PDN,5168.0
77,DBD,5005.0
49,CHP,4995.0
192,IJC,4949.0
62,CRE,4706.0
347,TLG,4513.0
349,TMP,4403.0
248,ORS,4402.0
91,DPG,4259.0
98,DSC,4066.0
225,MSH,4028.0
14,AGR,3858.0
276,QCG,3742.0
290,SCR,3703.0
301,SHP,3669.0
65,CSV,3624.0
367,TVS,3565.0
223,MIG,3564.0
269,PPC,3479.0
254,PET,3410.0
332,TCM,3361.0
270,PTB,3354.0
317,STG,3242.0
283,SAM,3230.0
219,MCM,3162.0
93,DPR,3141.0
13,AGG,3137.0
26,BCG,3125.0
21,AST,3082.0
0,AAA,3024.0
201,KHG,3011.0
19,ASM,2976.0
104,DVP,2960.0
85,DHC,2956.0
340,TDP,2955.0
34,BMI,2865.0
232,NCT,2815.0
359,TRA,2761.0
399,VPD,2729.0
297,SGT,2723.0
115,FCN,2661.0
95,DRC,2618.0
414,YEG,2599.0
16,APG,2594.0
28,BFC,2513.0
256,PGD,2455.0
380,VFG,2444.0
300,SHI,2430.0
209,LCG,2404.0
326,TBC,2403.0
119,FMC,2387.0
365,TV2,2374.0
214,LIX,2365.0
318,STK,2348.0
354,TNH,2285.0
242,NTL,2275.0
278,RAL,2268.0
257,PGI,2268.0
52,CKG,2233.0
295,SGN,2217.0
110,ELC,2189.0
90,DMC,2188.0
113,EVG,2174.0
191,IDI,2161.0
397,VOS,2142.0
205,KSB,2100.0
231,NBB,2068.0
175,HQC,2064.0
149,GIL,2062.0
296,SGR,2044.0
67,CTF,2009.0
360,TRC,1998.0
362,TTA,1990.0
249,PAC,1851.0
319,SVC,1815.0
285,SBA,1766.0
229,NAF,1730.0
180,HTG,1694.0
17,APH,1654.0
24,BBC,1631.0
343,THG,1613.0
174,HPX,1612.0
118,FIT,1598.0
336,TDC,1565.0
274,PVP,1550.0
18,ASG,1548.0
213,LHG,1545.0
281,S4A,1538.0
80,DCL,1523.0
69,CTI,1503.0
208,LBM,1500.0
160,HAX,1488.0
64,CSM,1482.0
195,ITC,1473.0
7,ACC,1444.0
247,OPC,1441.0
246,OGC,1395.0
240,NSC,1392.0
53,CLC,1331.0
234,NHH,1327.0
324,SZL,1310.0
344,TIP,1219.0
363,TTE,1214.0
277,QNP,1206.0
330,TCI,1191.0
345,TIX,1185.0
364,TTF,1181.0
307,SMB,1173.0
54,CLL,1164.0
210,LDG,1150.0
48,CDC,1139.0
79,DC4,1129.0
233,NHA,1118.0
193,ILB,1089.0
73,D2D,1080.0
72,CVT,1053.0
303,SJD,1052.0
331,TCL,1040.0
183,HTN,1029.0
59,CNG,997.0
238,NNC,963.0
176,HRC,958.0
366,TVB,953.0
411,VTO,946.0
387,VIP,890.0
89,DLG,886.0
308,SMC,883.0
328,TCD,876.0
378,VDP,870.0
310,SRC,842.0
217,LSS,835.0
255,PGC,830.0
352,TN1,826.0
166,HHP,788.0
61,CRC,780.0
244,NVT,768.0
152,GSP,763.0
400,VPG,760.0
321,SVI,743.0
202,KHP,743.0
405,VRC,735.0
393,VNG,730.0
305,SKG,725.0
84,DHA,722.0
5,ABT,718.0
58,CMX,718.0
372,VAF,712.0
342,TEG,710.0
157,HAP,699.0
102,DTL,691.0
39,BTP,668.0
55,CLW,659.0
396,VNS,658.0
294,SFI,654.0
12,ADS,653.0
187,HVH,641.0
286,SBG,637.0
45,CCC,636.0
116,FDC,622.0
11,ADP,619.0
348,TLH,618.0
361,TSC,618.0
40,BTT,616.0
9,ACL,612.0
346,TLD,595.0
117,FIR,594.0
222,MHC,593.0
220,MCP,574.0
197,JVC,573.0
181,HTI,554.0
353,TNC,552.0
280,RYG,549.0
401,VPH,542.0
158,HAR,541.0
100,DSN,541.0
97,DRL,540.0
369,TYA,537.0
75,DAT,537.0
145,GDT,511.0
338,TDH,508.0
392,VNE,502.0
178,HSL,501.0
186,HUB,493.0
341,TDW,484.0
293,SFG,481.0
313,SSC,465.0
50,CIG,457.0
60,COM,452.0
46,CCI,439.0
111,EVE,437.0
351,TMT,435.0
190,ICT,412.0
47,CCL,412.0
284,SAV,409.0
370,UIC,391.0
25,BCE,388.0
96,DRH,385.0
356,TNT,379.0
263,PLP,360.0
333,TCO,357.0
196,ITD,356.0
265,PMG,356.0
44,C47,355.0
170,HII,339.0
368,TVT,327.0
272,PTL,323.0
171,HMC,318.0
94,DQC,318.0
182,HTL,317.0
74,DAH,317.0
394,VNL,311.0
4,ABS,296.0
207,LAF,292.0
311,SRF,288.0
409,VSI,288.0
259,PHC,282.0
266,PNC,280.0
161,HCD,273.0
3,ABR,272.0
335,TCT,272.0
43,C32,265.0
390,VMD,255.0
289,SC5,250.0
78,DBT,248.0
271,PTC,243.0
404,VPS,243.0
235,NHT,240.0
2,AAT,239.0
322,SVT,233.0
288,SBV,230.0
206,L10,227.0
262,PJT,227.0
292,SFC,226.0
169,HID,225.0
358,TPC,225.0
87,DHM,218.0
212,LGL,217.0
32,BKG,211.0
33,BMC,206.0
386,VID,206.0
10,ADG,205.0
413,YBM,201.0
306,SMA,196.0
114,FCM,186.0
20,ASP,182.0
203,KMR,178.0
239,NO1,174.0
184,HTV,170.0
315,ST8,169.0
355,TNI,167.0
36,BRC,158.0
309,SPM,155.0
103,DTT,151.0
221,MDG,150.0
57,CMV,149.0
373,VCA,147.0
298,SHA,142.0
151,GMH,139.0
230,NAV,136.0
334,TCR,133.0
189,HVX,122.0
320,SVD,115.0
215,LM8,113.0
410,VTB,108.0
261,PIT,97.0
153,GTA,93.0
101,DTA,85.0
337,TDG,81.0
1,AAM,75.0
159,HAS,62.0
185,HU1,60.0
107,DXV,39.0
63,CRV,0.0
